"fips","agegr","year","state","pop","age","popm","popf","state2"
24,"20",1970,"MD",64772,,,,"MD"
24,"23",1970,"MD",71340,,,,"MD"
24,"65+",1970,"MD",298251,,,,"MD"
24,"3-4",1970,"MD",144247,,,,"MD"
24,"14",1970,"MD",79008,,,,"MD"
24,"62-64F",1970,"MD",43457,,,,"MD"
24,"15",1970,"MD",77524,,,,"MD"
24,"19",1970,"MD",65080,,,,"MD"
24,"22",1970,"MD",69949,,,,"MD"
24,"18",1970,"MD",68353,,,,"MD"
24,"0-2",1970,"MD",200312,,,,"MD"
24,"45-54",1970,"MD",464224,,,,"MD"
24,"60-61",1970,"MD",62161,,,,"MD"
24,"25-29",1970,"MD",286687,,,,"MD"
24,"17",1970,"MD",71837,,,,"MD"
24,"5-13",1970,"MD",736147,,,,"MD"
24,"21",1970,"MD",64234,,,,"MD"
23,"30-34",1970,"ME",51263,,,,"ME"
23,"0-2",1970,"ME",49511,,,,"ME"
23,"24",1970,"ME",11312,,,,"ME"
23,"23",1970,"ME",15358,,,,"ME"
23,"5-13",1970,"ME",181562,,,,"ME"
23,"14",1970,"ME",19927,,,,"ME"
23,"3-4",1970,"ME",35147,,,,"ME"
23,"55-59",1970,"ME",49118,,,,"ME"
23,"65+",1970,"ME",114140,,,,"ME"
23,"62-64F",1970,"ME",14055,,,,"ME"
23,"45-54",1970,"ME",109798,,,,"ME"
23,"20",1970,"ME",17051,,,,"ME"
23,"25-29",1970,"ME",58812,,,,"ME"
23,"21",1970,"ME",16176,,,,"ME"
23,"15",1970,"ME",19869,,,,"ME"
23,"35-44",1970,"ME",109089,,,,"ME"
23,"17",1970,"ME",18690,,,,"ME"
23,"62-64M",1970,"ME",12279,,,,"ME"
23,"22",1970,"ME",16228,,,,"ME"
23,"18",1970,"ME",18651,,,,"ME"
23,"60-61",1970,"ME",19228,,,,"ME"
23,"16",1970,"ME",19348,,,,"ME"
23,"19",1970,"ME",17110,,,,"ME"
26,"25-29",1970,"MI",594343,,,,"MI"
